code,product_name,brands,nutriscore_grade,energy_100g,fat_100g,sugars_100g,salt_100g
6111035000430,Sidi Ali,Sidi Ali,a,2.0,0.0,1.4,0.0
6111242100992,Perly,Jaouda,unknown,406.0,3.0,,
6111035002175,Sidi Ali,sidi ali,a,,,,0.065
6111035000058,Eau minérale naturelle,"Les Eaux Minérales d'oulmès,Sidi Ali",a,,,,0.065
6111252421568,اكوافينا,"pepsi,PepsiCo",a,0.0,0.0,0.0,0.000508
6111266962187,Lait,Jaouda,b,188.0,1.5,0.0,0.225
3274080005003,Eau De Source,Cristaline,a,0.0,0.0,0.0,0.0525
6111246721261,Fromage blanc nature,MILKY FOOD PROFESSIONAL,a,337.0,12.0,0.0,0.0
6111242101180,uht jaouda 1L,Jaouda,b,243.0,3.0,0.0,0.0
6111242106949,Jben,Jaouda,d,984.0,21.0,0.0,0.46
6111128000071,Ain Saïss,Danone,a,0.0,0.0,0.0,0.0
6111035502828,Eau minéral naturelle,Ain atlas,a,0.0,0.0,0.0,0.0
6111035000027,6111035000027,Sidi Ali,a,0.0,0.0,0.0,0.0065
50184453,Marmite Yeast Extract,"Marmite,Unilever",e,1100.0,0.5,1.2,10.8
6111242100985,,Jaouda,a,423.0,6.0,0.0,0.0
6111032009665,Lait Frais,centrale danone,b,188.0,1.5,0.0,0.0
6111099003897,,lilia,d,2824.0,75.0,0.0,0.5
5449000054227,Original Taste,Coca-Cola,e,180.0,0.0,10.6,0.0
6111252421582,اكوافينا,pepsi,b,0.0,0.0,0.0,0.0
7622210449283,Prince Goût Chocolat,Lu,e,1962.0,17.0,32.0,0.49
3046920029759,Excellence Noir Prodigieux 90% Cacao,Lindt,e,2477.0,55.0,7.0,0.03
3046920028004,Excellence 70% Cocoa Intense Dark,Lindt,e,2350.0,41.0,30.0,0.1
6111035003035,Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.,a,,,,0.0784
3017620425035,Nutella,Ferrero,e,2252.0,30.9,56.3,0.107
5449000147417,Orange juice,Coca cola,e,165.0,0.0,17.0,0.126
6111031005064,Tonik,Bimo,e,2120.0,22.2,40.0,0.217
6111180000231,levure pâtisserie,,b,766.0,0.0,0.0,0.0
6111128000163,Ain Saiss Eau Minerale Naturelle,Danone,a,0.0,0.0,0.0,0.0
3175680011480,Sésame,Gerblé,c,1961.0,18.0,17.0,0.38
6111162000839,Confiture de fraise,Délicia,unknown,1062.0,0.3,63.0,
6111035001659,Ain Atlas,Eau minérale naturelle des Montagnes d'Atlas,a,,,,0.0
6111242100206,Yaourt nature,Jaouda,b,330.0,3.3,0.0,0.0
8410376009392,zero sin azúcares Fibra,Gullón,b,1802.0,17.0,0.5,0.65
3046920028363,Excellence 85% Cacao Rich Dark,Lindt,e,2418.0,46.0,14.0,0.02
6111035001635,Ain Atlas,Eau minérale naturelle,a,0.0,0.0,0.0,0.12
6111184004129,Mayonnaise recette originale,Star,d,2435.4,65.21,0.05,1.75
5025125000006,Sourdough White Ciabattin Bread,Jason’s,b,962.0,0.8,2.4,0.905
5411188112709,Geröstete Mandel Ohne Zucker,Alpro,b,61.0,1.1,0.0,0.15
6111128000460,,aïn Saiss,a,,,,0.002
20995553,Dark Chocolate 85% Cocoa,J.D. Gross,e,2395.0,46.8,12.9,0.03
3268840001008,CRISTALINE Eau De Source 0.5L,Cristaline,a,0.0,0.0,,0.00476
3017620422003,Nutella,Ferrero,e,2252.0,30.9,56.3,0.107
5025125000112,The Great White Sourdough,Jason's,b,698.0,0.467,1.4,0.553
20005733,,"Alesto,Lidl",a,2979.0,69.1,3.0,0.02
5025125000037,Sourdough Grains & Seeds,Jason's,a,992.0,2.7,1.4,0.825
6111203006653,Cheddar,la Hollandaise,d,1130.0,21.0,6.0,1.5
20724696,Almonds,"Alesto,Lidl",a,2600.0,53.3,4.67,0.01
6111184001562,Star Branded Iodized Salt,Star,not-applicable,,0.0,0.0,99.0
6111184004730,Ketchup,Star,c,418.0,0.08,22.36,0.00555
6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg,COSUMAR,e,1700.0,0.0,100.0,0.0
20267605,Cashewkerne,"Alesto, Lidl, Lidl Alesto, 16 x Lidl 10.25",b,2510.0,47.6,6.5,0.02
3362600011044,Henry’s,Henry's,e,1841.0,10.8235,24.2353,0.882353
6111032001003,Assil,Danone,c,399.0,2.7,9.0,0.0
6111032000600,Salim,Salim,b,242.0,3.0,0.0,0.0
5449000214911,Coca-Cola,Coca-Cola,e,180.0,0.0,10.6,0.0
6111242100305,Cremy,jaouda,a,456.0,3.0,2.0,0.0
5449000061515,Ciel,THE COCA-COLA COMPANY,b,0.0,0.0,0.0,0.05
42104964,Ciel 33cl,Ciel,a,0.0,0.0,0.0,0.13
8425197712024,,Maruja,e,2255.0,33.0,50.0,0.275
6111128000088,ain saiss 50cl,Danone,a,0.0,0.0,0.0,0.0
6111246721278,Cream cheese,Original,a,1061.0,18.0,0.0,0.0
5740900404465,Spreadable Slightly Salted,Lurpak,e,2841.0,75.0,0.6,0.885
6111035003523,,BAHIA,b,0.0,0.0,0.0,0.0
6111035003004,Oulmes Eau Gazeuse,Oulmès,a,0.0,0.0,0.0,0.0784
7622210578464,Organic 70% Dark Chocolate Bar,Green & Black's,e,2428.0,42.0,29.0,0.01
6111246954461,jibal jben,jibal,d,572.0,11.5,3.5,0.8
6111259343108,KING COOKIES,Excelo,e,2021.0,24.0,32.0,0.27
6111018903161,Nescafé Classic,Nestlé,unknown,,,,
6111032006619,Jamila,Danone,e,301.0,1.7,9.0,0.0
6111251420166,Eau,Aïn lfrane,a,0.0,0.0,0.0,3e-06
6111252421575,Aquafina 50cl,Aquafina,b,4.0,0.1,0.1,0.1
8445290615350,sauce tomate cuisinée,solis,c,284.0,0.4,4.4,1.0
5449000214799,Coca-Cola Zero,Coca-Cola,c,1.3,0.0,0.0,0.01
3362600011228,Sable coco Henry s 42g,Henry's,e,1850.0,12.4,23.8,0.899
5000157024671,Fasole albă în sos de roșii,Heinz,unknown,339.0,0.4,4.3,0.59
6111035001673,Aïn Atlas 50cl,Aïn Atlas,a,0.0,0.0,0.0,0.024
20047238,,"Alesto,Alesto Lidl,Alesto Selection,Lidl",c,2705.0,58.0,4.2,0.01
5411188124689,Hafer Milch,Leche de avena,unknown,167.0,1.8,,
7394376616228,Oat Drink Barista Edition,Oatly,d,255.0,3.0,3.4,0.0975
6111250470742,Lait U.H.T entier,Dost,b,243.0,3.0,0.0,0.0
6111203001467,margarine la prairie 225g,la Prairie,c,2659.0,70.0,0.0,0.7
7300400481595,Tartine croustillante Authentique,wasa,a,1415.0,1.5,1.0,1.0
3046920022651,Excellence Noir Intense 70% Cacao,Lindt,e,2350.0,41.0,30.0,0.02
6111037000599,Familia 200g,,c,2224.0,60.0,0.0,0.0
6111184001661,Star vinaigre de table BLANC,Star,not-applicable,4.0,0.0,0.15,0.0
6111032008583,,Gervais,c,573.0,7.0,7.2,0.5
8052575090230,Nocciolata,Rigoni Di Asiago,e,2270.0,32.0,51.0,0.12
3608580065340,Pâte à tartiner noisettes et cacao,Bonne Maman,e,2299.0,34.0,51.0,0.1
5060042641000,Lightly Sea Salted,Tyrrell's,c,1990.0,27.0,0.64,0.825
5010029000016,Weetabix,Weetabix,a,1500.0,2.11,4.21,0.257
7622210584724,Dark chocolate,Green and black,c,2512.0,50.0,0.0,0.0
3057640257773,Eau Minérale Naturelle,Volvic,a,0.0,0.0,0.0,0.003
6111162001218,Filets de maquereau,joly,a,753.0,8.5,0.6,0.5
3046920022606,Excellence Noir Puissant 85% Cacao,Lindt,e,2418.0,46.0,15.0,0.02
3155251205296,Tartine Doux,Primevère,c,2033.0,55.0,0.0,0.4
6111251753912,611251753912,sos,c,303.0,3.3,2.3,0.83
6111248360130,Aïn Soltane,سلطان,a,0.0,0.0,0.0,0.0
6111003031107,,8dh,a,753.0,6.4,0.16,0.5
3229820100234,Fourrés Chocolat Noir,Bjorg,d,2017.0,20.0,27.0,0.49
6111184001074,Confiture De Fraises 430 G,El Baraka,d,1087.0,0.5,62.0,0.02
